2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=139240 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=139240 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=140420 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=141600 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=140420 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=142780 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=140420 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=143960 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=140420 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=145140 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=140420 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=140420 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=146320 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Duplicate data seq=141600, SEND: ACK seq=146320
2025-11-05 04:23:56 - DEBUG - RECV: Duplicate data seq=142780, SEND: ACK seq=146320
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=146320 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=147500 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=147500 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=148680 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=148680 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=149860 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=149860 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=151040 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=151040 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=152220 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=152220 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=153400 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=153400 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=154580 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=154580 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=155760 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=155760 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=156940 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=156940 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=158120 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=158120 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=159300 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=160480 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=159300 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=161660 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=159300 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=162840 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=159300 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=164020 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=159300 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=159300 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=165200 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=165200 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=166380 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=166380 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=167560 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=167560 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=168740 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=168740 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=169920 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=171100 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=169920 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=172280 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=169920 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=173460 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=169920 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=174640 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=169920 (next expected)
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=169920 (next expected)
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=169920 (next expected)
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=169920 (next expected)
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=169920 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=169920 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=175820 (next expected)
2025-11-05 04:23:56 - DEBUG - RECV: Data seq=175820 size=1180 bytes
2025-11-05 04:23:56 - DEBUG - SEND: ACK seq=177000 (next expected)
