Server listening on 10.0.0.3:6555
Initial congestion window: 1180 bytes
Waiting for client request...
Received request from ('10.0.0.1', 44419)
Starting file transfer: 32317690 bytes
Total packets to send: 27388
[ACK_SLOW_START] cwnd=190.000 ssthresh=inf last_max=1.000 ack=223020 acked=1180
[ACK_SLOW_START] cwnd=191.000 ssthresh=inf last_max=1.000 ack=224200 acked=1180
[ACK_SLOW_START] cwnd=192.000 ssthresh=inf last_max=1.000 ack=225380 acked=1180
[ACK_SLOW_START] cwnd=193.000 ssthresh=inf last_max=1.000 ack=226560 acked=1180
[ACK_SLOW_START] cwnd=194.000 ssthresh=inf last_max=1.000 ack=227740 acked=1180
[ACK_SLOW_START] cwnd=195.000 ssthresh=inf last_max=1.000 ack=228920 acked=1180
[ACK_SLOW_START] cwnd=196.000 ssthresh=inf last_max=1.000 ack=230100 acked=1180
[ACK_SLOW_START] cwnd=197.000 ssthresh=inf last_max=1.000 ack=231280 acked=1180
[ACK_SLOW_START] cwnd=198.000 ssthresh=inf last_max=1.000 ack=232460 acked=1180
[ACK_SLOW_START] cwnd=199.000 ssthresh=inf last_max=1.000 ack=233640 acked=1180
[ACK_SLOW_START] cwnd=200.000 ssthresh=inf last_max=1.000 ack=234820 acked=1180
[ACK_SLOW_START] cwnd=201.000 ssthresh=inf last_max=1.000 ack=236000 acked=1180
[ACK_SLOW_START] cwnd=202.000 ssthresh=inf last_max=1.000 ack=237180 acked=1180
[ACK_SLOW_START] cwnd=203.000 ssthresh=inf last_max=1.000 ack=238360 acked=1180
[ACK_SLOW_START] cwnd=204.000 ssthresh=inf last_max=1.000 ack=239540 acked=1180
[ACK_SLOW_START] cwnd=205.000 ssthresh=inf last_max=1.000 ack=240720 acked=1180
[ACK_SLOW_START] cwnd=206.000 ssthresh=inf last_max=1.000 ack=241900 acked=1180
[ACK_SLOW_START] cwnd=207.000 ssthresh=inf last_max=1.000 ack=243080 acked=1180
[ACK_SLOW_START] cwnd=208.000 ssthresh=inf last_max=1.000 ack=244260 acked=1180
[ACK_SLOW_START] cwnd=209.000 ssthresh=inf last_max=1.000 ack=245440 acked=1180
[ACK_SLOW_START] cwnd=210.000 ssthresh=inf last_max=1.000 ack=246620 acked=1180
[ACK_SLOW_START] cwnd=211.000 ssthresh=inf last_max=1.000 ack=247800 acked=1180
[ACK_SLOW_START] cwnd=212.000 ssthresh=inf last_max=1.000 ack=248980 acked=1180
[ACK_SLOW_START] cwnd=213.000 ssthresh=inf last_max=1.000 ack=250160 acked=1180
[ACK_SLOW_START] cwnd=214.000 ssthresh=inf last_max=1.000 ack=251340 acked=1180
[ACK_SLOW_START] cwnd=215.000 ssthresh=inf last_max=1.000 ack=252520 acked=1180
[ACK_SLOW_START] cwnd=216.000 ssthresh=inf last_max=1.000 ack=253700 acked=1180
[ACK_SLOW_START] cwnd=217.000 ssthresh=inf last_max=1.000 ack=254880 acked=1180
[ACK_SLOW_START] cwnd=218.000 ssthresh=inf last_max=1.000 ack=256060 acked=1180
[ACK_SLOW_START] cwnd=219.000 ssthresh=inf last_max=1.000 ack=257240 acked=1180
[ACK_SLOW_START] cwnd=220.000 ssthresh=inf last_max=1.000 ack=258420 acked=1180
[ACK_SLOW_START] cwnd=221.000 ssthresh=inf last_max=1.000 ack=259600 acked=1180
[ACK_SLOW_START] cwnd=222.000 ssthresh=inf last_max=1.000 ack=260780 acked=1180
[ACK_SLOW_START] cwnd=223.000 ssthresh=inf last_max=1.000 ack=261960 acked=1180
[ACK_SLOW_START] cwnd=224.000 ssthresh=inf last_max=1.000 ack=263140 acked=1180
[ACK_SLOW_START] cwnd=225.000 ssthresh=inf last_max=1.000 ack=264320 acked=1180
[ACK_SLOW_START] cwnd=226.000 ssthresh=inf last_max=1.000 ack=265500 acked=1180
[ACK_SLOW_START] cwnd=227.000 ssthresh=inf last_max=1.000 ack=266680 acked=1180
[ACK_SLOW_START] cwnd=228.000 ssthresh=inf last_max=1.000 ack=267860 acked=1180
[ACK_SLOW_START] cwnd=229.000 ssthresh=inf last_max=1.000 ack=269040 acked=1180
[ACK_SLOW_START] cwnd=230.000 ssthresh=inf last_max=1.000 ack=270220 acked=1180
[ACK_SLOW_START] cwnd=231.000 ssthresh=inf last_max=1.000 ack=271400 acked=1180
[ACK_SLOW_START] cwnd=232.000 ssthresh=inf last_max=1.000 ack=272580 acked=1180
[ACK_SLOW_START] cwnd=233.000 ssthresh=inf last_max=1.000 ack=273760 acked=1180
[ACK_SLOW_START] cwnd=234.000 ssthresh=inf last_max=1.000 ack=274940 acked=1180
[ACK_SLOW_START] cwnd=235.000 ssthresh=inf last_max=1.000 ack=276120 acked=1180
[ACK_SLOW_START] cwnd=236.000 ssthresh=inf last_max=1.000 ack=277300 acked=1180
[ACK_SLOW_START] cwnd=237.000 ssthresh=inf last_max=1.000 ack=278480 acked=1180
